iter	Passed	Remaining
0	2	234
1	5	262
2	7	250
3	11	270
4	13	260
5	17	266
6	19	254
7	22	253
8	24	250
9	27	245
10	29	238
11	31	231
12	32	219
13	34	214
14	36	209
15	40	210
16	42	208
17	44	203
18	47	201
19	49	198
20	52	197
21	55	198
22	58	197
23	61	193
24	64	192
25	66	189
26	69	188
27	72	185
28	74	183
29	76	179
30	79	176
31	81	173
32	84	171
33	86	168
34	89	165
35	91	162
36	92	157
37	94	154
38	97	151
39	100	150
40	103	148
41	103	143
42	105	140
43	108	137
44	109	134
45	112	131
46	115	129
47	116	126
48	118	123
49	119	119
50	121	116
51	123	113
52	125	111
53	129	109
54	131	107
55	133	105
56	136	102
57	137	99
58	139	96
59	142	94
60	145	92
61	147	90
62	150	88
63	151	85
64	153	82
65	155	80
66	158	78
67	160	75
68	161	72
69	163	69
70	165	67
71	166	64
72	168	62
73	169	59
74	171	57
75	173	54
76	175	52
77	177	50
78	179	47
79	181	45
80	184	43
81	187	41
82	188	38
83	191	36
84	193	34
85	195	31
86	197	29
87	199	27
88	202	25
89	204	22
90	206	20
91	207	18
92	209	15
93	211	13
94	212	11
95	214	8
96	216	6
97	218	4
98	219	2
99	222	0
